Ref_ID,Reference
1,"Aerts and De Caluwe.  (1994), Ecology, 75, 1482-1490"
2,"Aerts et al. (1992a), J Ecol, 80, 131-140"
3,"Aerts et al. (1992b), J Ecol, 80, 653-664 "
4,"Aerts et al. (2001), J Ecol, 89, 292-299"
5,"Ahern et al. (2008), Harmful Algae, 7, 389-404"
6,"Anderson and Eickmeier. (1998), Can J Bot, 76, 1340-1349"
7,"Arnamwong et al. (2015), Int J Phytoremediat, 17, 382-390"
8,"Arp et al. (1998), Plant Cell Environ, 21, 1-11"
9,"Baez et al. (2007), J Arid Environ, 68, 640-651"
10,"Bai et al. (2009), Plant Ecol, 205, 13–21"
11,"Bardgett et al. (1999), Funct Ecol, 13, 650–660"
12,"Barger et al. (2002), Biotropica, 34, 493-501"
13,"Barger et al. (2003), Plant Ecol, 167, 31-43"
14,"Bassirirad et al. (2015), Oecologia, 177, 53–63"
15,"Bazzaz and Miao. (1993), Ecology, 74, 104-112"
16,"Bélanger and Richards. (2000), Plant Soil, 219, 177–185"
17,"Bellingham et al. (2001), J Ecol, 89, 861–875"
18,"Bennett et al. (2003), Can J Forest Res, 33, 1516-1524"
19,"Bergamini and Peintinger. (2002), Oikos, 96, 355–363"
20,"Birk et al. (1986), Ecology, 67, 69-79"
21,"Bjorn et al. (2009), Sci Total Environ, 407, 2342–2348"
22,"Blanke et al. (2005), New Phytol, 166, 981-992"
23,"Blanke et al. (2011),  Plant Soil, 343, 379–392"
24,"Blicker et al. (2002), Plant Soil, 247, 261–269"
25,"Blumenthal et al. (2017), Ecosphere,  8(10)"
26,"Bokhorst S. (2018), Front Plant Sci, 9"
27,"Bonanomi et al. (2006), Acta Oecol, 30, 419-425"
28,"Boonstra et al. (2017), Forest Ecol Manag, 401, 45-54"
29,"Boryslawski and Bentley. (1985), J Ecol, 73, 113-121"
30,"Bowman et al. (1993), Ecology, 74, 2085-2097"
31,"Bowman et al. (2001), Plant Soil, 233, 283–290"
32,"Bowman et al. (2006), Ecol Appl, 16, 1183-1193"
33,"Boyer and Zedler. (1999), Restor Ecol, 7, 74–85"
34,"Bragazza et al. (2012), Global Change Biol, 18, 1163–1172"
35,"Briggs MA. (1991), Funct Ecol, 5, 780-786"
36,"Brinks et al. (2011), Forest Ecol Manag, 261. 640–648"
37,"Brooks et al. (2003), J Appl Ecol, 40, 344–353"
38,"Bubier et al. (2011), Oecologia, 167, 355–368"
39,"Bungard et al. (2000), Plant Cell Environ, 23, 1183-1194 "
40,"Burslem et al. (1994), J Trop Ecol, 10, 579-599"
41,"Burslem et al. (1995), J Ecol, 83, 113-122"
42,"Cahill JF. (1999), Ecology, 80, 466-480"
43,"Cambridge ML. (2009), J Exp Mar Biol Ecol,  371, 34-41"
44,"Caporn et al. (1999), Funct Ecol, 13, 107-115"
45,"Carswell et al. (2005), Austral Ecol, 30, 426-434"
46,"Causin et al. (2004), Am J Bot, 91(4), 565-572"
47,"Cedergreen and Madsen. (2002), New Phytol, 155(2), 285-292"
48,"Chapin III and Shaver. (1985), Ecology, 66, 564-576"
49,"Chen et al. (2017), Plant Soil, 412, 441-451"
50,"Christie and Detling. (1982), Ecology, 63, 1277-1284"
51,"Chung et al. (2010), Ind Crop Prod, 32, 650-655"
52,"Clemmensen KE. (2006), New Phytol, 171, 391-404"
53,"Close et al. (2004), Aust J Bot, 52, 133-140"
54,"Cobb et al. (2008), Forest Ecol Manag, 255, 4032-4039"
55,"Concilio et al. (2013), Global Change Biol, 19, 161-72"
56,"Coyle and Coleman. (2005), Forest Ecol Manag, 208, 137-152"
57,"Cronin and Lodge. (2003), Oecologia, 137, 32-41"
58,"Daepp et al. (2000), Global Change Biol, 6, 805-816"
59,"Darby and Turner. (2008), Estuar Coast, 31, 326–334"
60,"De Deyn et al. (2004), J Ecol, 92, 824-834"
61,"De Graaf et al. (1998), Plant Ecol, 135, 185-196"
62,"De Valpine and Harte. (2001), Ecology, 82, 637-648"
63,"Defoliart et al. (1988), Funct Ecol, 2, 185-194"
64,"DeLaune et al. (1986), J Ecol, 74, 249-256 "
65,"DeMarco et al . (2014), Ecosphere, 5, 1-22"
66,"Denslow JS. (1987), Oecologia , 74, 370-376"
67,"Dighton et al. (2004), Forest Ecol Manag, 201, 131–144"
68,"Ding et al . (2012), Dendrobiology, 67, 3-13 "
69,"Drake and Ungar. (1989), Am J Bot, 76, 1125-1135"
