Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Abutilon theophrasti,Malvaceae,Seed,H ,Fo ,A,,,C3,N
Acacia catechu,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Acacia koa,Fabaceae,Seed,W ,T ,,B ,E ,C3,L 
Acacia nilotica,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Acacia salicina,Fabaceae,Seed,W ,S ,,,,C3,L 
Acer mono Maxim,Aceraceae,Seed,W ,T ,,B ,D ,C3,N 
Acer platanoides,Aceraceae,Seed,W ,T ,,B ,D ,C3,N 
Acer rubrum,Aceraceae,Seed,W ,T ,,B ,D ,C3,N 
Acer saccharum,Sapindaceae,Seed,W ,T ,,B ,D ,C3,N 
Acer truncatum,Aceraceae,Seed,W ,T ,,B ,D ,C3,N 
Achillea millefolium,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Achnatherum sibiricum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Achyranthes aspera ,Amaranthaceae,Seed,H ,Fo ,P ,,,C3,N 
Acmena acuminatissima,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Aegilops kotschyi,Gramineae,Seed,H ,G ,A ,,,C3,N 
Ageratum conyzoides,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Agropyron cristatum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Agropyron desertorum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Agropyron repens,Gramineae,Seed,H ,G ,P ,,,C3,N 
Agropyron smithii,Gramineae,Seed,H ,G ,P ,,,C3,N 
Agrostis capillaris,Gramineae,Seed,H ,G ,P ,,,C3,N 
Ailanthus triphysa,Simaroubaceae,Seed,W ,T ,,B ,E ,C3,N 
Albizia procera,Fabaceae,Seed,W ,T ,,B ,D ,C3,L 
Alnus rugosa,Betulaceae,Seed,W ,T ,,B ,D ,C3,N 
Alternanthera philoxeroides,Amaranthaceae,Seed,H ,Fo ,P ,,,C3,N 
Alternanthera sessilis,Amaranthaceae,Seed,H ,Fo ,P ,,,C3,N 
Amaranthus cruentus,Amaranthaceae,Seed,H ,Fo ,A ,,,C4,N 
Amaranthus hypochondriacus,Amaranthaceae,Seed,H ,Fo ,A ,,,C4,N 
Amaranthus retroflexus,Amaranthaceae,Seed,H ,Fo ,A ,,,C4,N 
Ambrosia artemisiifolia,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Andromeda polifolia,Ericaceae,Seed,W ,S ,,,,C3,N 
